          time, Bus_0001.V.im, Bus_0001.V.re, Bus_0002.V.im, Bus_0002.V.re, Bus_0003.V.im, Bus_0003.V.re, Bus_0004.V.im, Bus_0004.V.re, Bus_0005.V.im, Bus_0005.V.re, Bus_0006.V.im, Bus_0006.V.re, Bus_0007.V.im, Bus_0007.V.re, Bus_0008.V.im, Bus_0008.V.re, Bus_0009.V.im, Bus_0009.V.re, Bus_0010.V.im, Bus_0010.V.re, Bus_0011.V.im, Bus_0011.V.re, Bus_0012.V.im, Bus_0012.V.re, Bus_0013.V.im, Bus_0013.V.re, Bus_0014.V.im, Bus_0014.V.re
  0.000000e+00,      0.000000, 139920.000000, -11914.332397, 137424.496665, -29141.438112, 130096.114411, -24421.724885, 133355.774864, -21234.926888, 134742.982409,  -9067.968210,  34125.768160,   -243.280521,   1016.535242,  -2790.679558,  11660.712140,  -8825.082438,  32757.298405,  -8964.910719,  32713.931636,  -9052.973835,  33279.462501,  -9415.961742,  33450.615457,  -9366.818783,  33232.891168,  -9481.618850,  32217.651573
  1.000000e-03,     -0.000011, 139919.999523, -11914.332351, 137424.495998, -29141.438031, 130096.113740, -24421.724669, 133355.773759, -21234.926742, 134742.981226,  -9067.968174,  34125.767952,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298169,  -8964.910599,  32713.931395,  -9052.973771,  33279.462258,  -9415.961699,  33450.615240,  -9366.818733,  33232.890947,  -9481.618740,  32217.651340
  2.000000e-03,     -0.000011, 139919.999522, -11914.332351, 137424.495997, -29141.438031, 130096.113739, -24421.724669, 133355.773759, -21234.926742, 134742.981225,  -9067.968174,  34125.767952,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298169,  -8964.910599,  32713.931395,  -9052.973771,  33279.462258,  -9415.961699,  33450.615240,  -9366.818733,  33232.890946,  -9481.618740,  32217.651340
  3.000000e-03,     -0.000011, 139919.999522, -11914.332351, 137424.495997, -29141.438031, 130096.113739, -24421.724669, 133355.773758, -21234.926742, 134742.981225,  -9067.968174,  34125.767952,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298168,  -8964.910599,  32713.931395,  -9052.973771,  33279.462258,  -9415.961699,  33450.615240,  -9366.818733,  33232.890946,  -9481.618740,  32217.651340
  4.000000e-03,     -0.000011, 139919.999522, -11914.332351, 137424.495996, -29141.438031, 130096.113738, -24421.724668, 133355.773758, -21234.926742, 134742.981224,  -9067.968174,  34125.767952,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298168,  -8964.910599,  32713.931395,  -9052.973771,  33279.462258,  -9415.961699,  33450.615240,  -9366.818733,  33232.890946,  -9481.618740,  32217.651340
  5.000000e-03,     -0.000011, 139919.999521, -11914.332351, 137424.495996, -29141.438030, 130096.113738, -24421.724668, 133355.773758, -21234.926742, 134742.981224,  -9067.968174,  34125.767952,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298168,  -8964.910599,  32713.931395,  -9052.973771,  33279.462258,  -9415.961699,  33450.615240,  -9366.818733,  33232.890946,  -9481.618740,  32217.651340
  6.000000e-03,     -0.000010, 139919.999521, -11914.332351, 137424.495995, -29141.438030, 130096.113737, -24421.724668, 133355.773757, -21234.926742, 134742.981223,  -9067.968174,  34125.767952,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298168,  -8964.910599,  32713.931395,  -9052.973771,  33279.462258,  -9415.961699,  33450.615239,  -9366.818733,  33232.890946,  -9481.618740,  32217.651340
  7.000000e-03,     -0.000010, 139919.999520, -11914.332351, 137424.495995, -29141.438030, 130096.113737, -24421.724668, 133355.773757, -21234.926742, 134742.981223,  -9067.968174,  34125.767951,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298168,  -8964.910599,  32713.931394,  -9052.973771,  33279.462257,  -9415.961699,  33450.615239,  -9366.818733,  33232.890946,  -9481.618740,  32217.651340
  8.000000e-03,     -0.000010, 139919.999520, -11914.332350, 137424.495994, -29141.438030, 130096.113736, -24421.724668, 133355.773756, -21234.926741, 134742.981222,  -9067.968174,  34125.767951,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298168,  -8964.910599,  32713.931394,  -9052.973771,  33279.462257,  -9415.961699,  33450.615239,  -9366.818733,  33232.890946,  -9481.618739,  32217.651340
  9.000000e-03,     -0.000010, 139919.999519, -11914.332350, 137424.495994, -29141.438030, 130096.113736, -24421.724668, 133355.773756, -21234.926741, 134742.981222,  -9067.968174,  34125.767951,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298168,  -8964.910599,  32713.931394,  -9052.973771,  33279.462257,  -9415.961699,  33450.615239,  -9366.818733,  33232.890945,  -9481.618739,  32217.651339
  1.000000e-02,     -0.000010, 139919.999519, -11914.332350, 137424.495993, -29141.438030, 130096.113735, -24421.724667, 133355.773755, -21234.926741, 134742.981221,  -9067.968174,  34125.767951,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298168,  -8964.910599,  32713.931394,  -9052.973771,  33279.462257,  -9415.961699,  33450.615239,  -9366.818733,  33232.890945,  -9481.618739,  32217.651339
  1.100000e-02,     -0.000010, 139919.999518, -11914.332350, 137424.495993, -29141.438029, 130096.113735, -24421.724667, 133355.773755, -21234.926741, 134742.981221,  -9067.968174,  34125.767951,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298167,  -8964.910599,  32713.931394,  -9052.973771,  33279.462257,  -9415.961699,  33450.615239,  -9366.818733,  33232.890945,  -9481.618739,  32217.651339
  1.200000e-02,     -0.000010, 139919.999518, -11914.332350, 137424.495992, -29141.438029, 130096.113734, -24421.724667, 133355.773754, -21234.926741, 134742.981220,  -9067.968174,  34125.767951,   -243.280517,   1016.535235,  -2790.679535,  11660.712089,  -8825.082296,  32757.298167,  -8964.910599,  32713.931394,  -9052.973770,  33279.462257,  -9415.961699,  33450.615239,  -9366.818733,  33232.890945,  -9481.618739,  32217.651339
  1.300000e-02,     -0.000010, 139919.999517, -11914.332350, 137424.495992, -29141.438029, 130096.113734, -24421.724667, 133355.773754, -21234.926741, 134742.981220,  -9067.968174,  34125.767951,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082296,  32757.298167,  -8964.910599,  32713.931394,  -9052.973770,  33279.462257,  -9415.961699,  33450.615238,  -9366.818732,  33232.890945,  -9481.618739,  32217.651339
  1.400000e-02,     -0.000009, 139919.999517, -11914.332350, 137424.495991, -29141.438029, 130096.113733, -24421.724667, 133355.773753, -21234.926740, 134742.981219,  -9067.968174,  34125.767950,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082296,  32757.298167,  -8964.910599,  32713.931394,  -9052.973770,  33279.462256,  -9415.961699,  33450.615238,  -9366.818732,  33232.890945,  -9481.618739,  32217.651339
  1.500000e-02,     -0.000009, 139919.999516, -11914.332349, 137424.495991, -29141.438029, 130096.113733, -24421.724666, 133355.773753, -21234.926740, 134742.981219,  -9067.968174,  34125.767950,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082296,  32757.298167,  -8964.910599,  32713.931394,  -9052.973770,  33279.462256,  -9415.961699,  33450.615238,  -9366.818732,  33232.890945,  -9481.618739,  32217.651339
  1.600000e-02,     -0.000009, 139919.999516, -11914.332349, 137424.495990, -29141.438029, 130096.113732, -24421.724666, 133355.773752, -21234.926740, 134742.981218,  -9067.968174,  34125.767950,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298167,  -8964.910599,  32713.931393,  -9052.973770,  33279.462256,  -9415.961699,  33450.615238,  -9366.818732,  33232.890945,  -9481.618739,  32217.651339
  1.700000e-02,     -0.000009, 139919.999516, -11914.332349, 137424.495990, -29141.438028, 130096.113732, -24421.724666, 133355.773752, -21234.926740, 134742.981218,  -9067.968174,  34125.767950,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298167,  -8964.910599,  32713.931393,  -9052.973770,  33279.462256,  -9415.961699,  33450.615238,  -9366.818732,  33232.890944,  -9481.618739,  32217.651338
  1.800000e-02,     -0.000009, 139919.999515, -11914.332349, 137424.495989, -29141.438028, 130096.113731, -24421.724666, 133355.773751, -21234.926740, 134742.981217,  -9067.968174,  34125.767950,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298167,  -8964.910599,  32713.931393,  -9052.973770,  33279.462256,  -9415.961698,  33450.615238,  -9366.818732,  33232.890944,  -9481.618739,  32217.651338
  1.900000e-02,     -0.000009, 139919.999515, -11914.332349, 137424.495989, -29141.438028, 130096.113731, -24421.724666, 133355.773751, -21234.926739, 134742.981217,  -9067.968174,  34125.767950,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298167,  -8964.910599,  32713.931393,  -9052.973770,  33279.462256,  -9415.961698,  33450.615238,  -9366.818732,  33232.890944,  -9481.618739,  32217.651338
  2.000000e-02,     -0.000008, 139919.999514, -11914.332348, 137424.495988, -29141.438028, 130096.113730, -24421.724665, 133355.773750, -21234.926739, 134742.981216,  -9067.968173,  34125.767950,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298166,  -8964.910598,  32713.931393,  -9052.973770,  33279.462256,  -9415.961698,  33450.615238,  -9366.818732,  33232.890944,  -9481.618739,  32217.651338
  2.100000e-02,     -0.000008, 139919.999514, -11914.332348, 137424.495988, -29141.438028, 130096.113730, -24421.724665, 133355.773750, -21234.926739, 134742.981216,  -9067.968173,  34125.767949,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298166,  -8964.910598,  32713.931393,  -9052.973770,  33279.462256,  -9415.961698,  33450.615237,  -9366.818732,  33232.890944,  -9481.618739,  32217.651338
  2.200000e-02,     -0.000008, 139919.999513, -11914.332348, 137424.495987, -29141.438028, 130096.113729, -24421.724665, 133355.773749, -21234.926739, 134742.981215,  -9067.968173,  34125.767949,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298166,  -8964.910598,  32713.931393,  -9052.973770,  33279.462255,  -9415.961698,  33450.615237,  -9366.818732,  33232.890944,  -9481.618739,  32217.651338
  2.300000e-02,     -0.000008, 139919.999513, -11914.332348, 137424.495987, -29141.438027, 130096.113729, -24421.724665, 133355.773749, -21234.926738, 134742.981215,  -9067.968173,  34125.767949,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298166,  -8964.910598,  32713.931393,  -9052.973770,  33279.462255,  -9415.961698,  33450.615237,  -9366.818732,  33232.890944,  -9481.618739,  32217.651338
  2.400000e-02,     -0.000007, 139919.999512, -11914.332347, 137424.495987, -29141.438027, 130096.113728, -24421.724664, 133355.773748, -21234.926738, 134742.981214,  -9067.968173,  34125.767949,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298166,  -8964.910598,  32713.931392,  -9052.973770,  33279.462255,  -9415.961698,  33450.615237,  -9366.818732,  33232.890943,  -9481.618739,  32217.651338
  2.500000e-02,     -0.000007, 139919.999512, -11914.332347, 137424.495986, -29141.438027, 130096.113728, -24421.724664, 133355.773748, -21234.926738, 134742.981214,  -9067.968173,  34125.767949,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298166,  -8964.910598,  32713.931392,  -9052.973770,  33279.462255,  -9415.961698,  33450.615237,  -9366.818732,  33232.890943,  -9481.618739,  32217.651337
  2.600000e-02,     -0.000007, 139919.999511, -11914.332347, 137424.495986, -29141.438027, 130096.113727, -24421.724664, 133355.773747, -21234.926738, 134742.981213,  -9067.968173,  34125.767949,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298166,  -8964.910598,  32713.931392,  -9052.973770,  33279.462255,  -9415.961698,  33450.615237,  -9366.818732,  33232.890943,  -9481.618738,  32217.651337
  2.700000e-02,     -0.000007, 139919.999511, -11914.332347, 137424.495985, -29141.438027, 130096.113727, -24421.724664, 133355.773747, -21234.926737, 134742.981213,  -9067.968173,  34125.767949,   -243.280517,   1016.535235,  -2790.679535,  11660.712088,  -8825.082295,  32757.298166,  -8964.910598,  32713.931392,  -9052.973770,  33279.462255,  -9415.961698,  33450.615237,  -9366.818732,  33232.890943,  -9481.618738,  32217.651337
  2.800000e-02,     -0.000006, 139919.999510, -11914.332346, 137424.495985, -29141.438026, 130096.113726, -24421.724663, 133355.773746, -21234.926737, 134742.981212,  -9067.968173,  34125.767948,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082295,  32757.298165,  -8964.910598,  32713.931392,  -9052.973770,  33279.462255,  -9415.961698,  33450.615236,  -9366.818732,  33232.890943,  -9481.618738,  32217.651337
  2.900000e-02,     -0.000006, 139919.999510, -11914.332346, 137424.495984, -29141.438026, 130096.113726, -24421.724663, 133355.773746, -21234.926737, 134742.981212,  -9067.968173,  34125.767948,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082295,  32757.298165,  -8964.910598,  32713.931392,  -9052.973770,  33279.462255,  -9415.961698,  33450.615236,  -9366.818732,  33232.890943,  -9481.618738,  32217.651337
  3.000000e-02,     -0.000006, 139919.999509, -11914.332346, 137424.495984, -29141.438026, 130096.113725, -24421.724663, 133355.773745, -21234.926737, 134742.981211,  -9067.968173,  34125.767948,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082294,  32757.298165,  -8964.910598,  32713.931392,  -9052.973770,  33279.462254,  -9415.961698,  33450.615236,  -9366.818732,  33232.890943,  -9481.618738,  32217.651337
  3.100000e-02,     -0.000005, 139919.999509, -11914.332345, 137424.495983, -29141.438026, 130096.113725, -24421.724663, 133355.773745, -21234.926736, 134742.981211,  -9067.968173,  34125.767948,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082294,  32757.298165,  -8964.910598,  32713.931392,  -9052.973770,  33279.462254,  -9415.961698,  33450.615236,  -9366.818732,  33232.890942,  -9481.618738,  32217.651337
  3.200000e-02,     -0.000005, 139919.999508, -11914.332345, 137424.495983, -29141.438026, 130096.113724, -24421.724662, 133355.773744, -21234.926736, 134742.981210,  -9067.968173,  34125.767948,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082294,  32757.298165,  -8964.910598,  32713.931391,  -9052.973770,  33279.462254,  -9415.961698,  33450.615236,  -9366.818732,  33232.890942,  -9481.618738,  32217.651337
  3.300000e-02,     -0.000005, 139919.999508, -11914.332345, 137424.495982, -29141.438025, 130096.113724, -24421.724662, 133355.773744, -21234.926736, 134742.981210,  -9067.968173,  34125.767948,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082294,  32757.298165,  -8964.910598,  32713.931391,  -9052.973769,  33279.462254,  -9415.961698,  33450.615236,  -9366.818732,  33232.890942,  -9481.618738,  32217.651336
  3.400000e-02,     -0.000004, 139919.999507, -11914.332344, 137424.495982, -29141.438025, 130096.113723, -24421.724662, 133355.773743, -21234.926735, 134742.981209,  -9067.968173,  34125.767948,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082294,  32757.298165,  -8964.910598,  32713.931391,  -9052.973769,  33279.462254,  -9415.961698,  33450.615236,  -9366.818732,  33232.890942,  -9481.618738,  32217.651336
  3.500000e-02,     -0.000004, 139919.999507, -11914.332344, 137424.495981, -29141.438025, 130096.113723, -24421.724661, 133355.773743, -21234.926735, 134742.981209,  -9067.968173,  34125.767947,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082294,  32757.298165,  -8964.910597,  32713.931391,  -9052.973769,  33279.462254,  -9415.961698,  33450.615235,  -9366.818732,  33232.890942,  -9481.618738,  32217.651336
  3.600000e-02,     -0.000004, 139919.999506, -11914.332344, 137424.495981, -29141.438025, 130096.113722, -24421.724661, 133355.773742, -21234.926735, 134742.981208,  -9067.968173,  34125.767947,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082294,  32757.298165,  -8964.910597,  32713.931391,  -9052.973769,  33279.462254,  -9415.961698,  33450.615235,  -9366.818731,  33232.890942,  -9481.618738,  32217.651336
  3.700000e-02,     -0.000003, 139919.999506, -11914.332343, 137424.495980, -29141.438024, 130096.113721, -24421.724661, 133355.773742, -21234.926735, 134742.981208,  -9067.968173,  34125.767947,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082294,  32757.298164,  -8964.910597,  32713.931391,  -9052.973769,  33279.462253,  -9415.961698,  33450.615235,  -9366.818731,  33232.890942,  -9481.618738,  32217.651336
  3.800000e-02,     -0.000003, 139919.999506, -11914.332343, 137424.495980, -29141.438024, 130096.113721, -24421.724660, 133355.773742, -21234.926734, 134742.981207,  -9067.968173,  34125.767947,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082294,  32757.298164,  -8964.910597,  32713.931391,  -9052.973769,  33279.462253,  -9415.961698,  33450.615235,  -9366.818731,  33232.890941,  -9481.618738,  32217.651336
  3.900000e-02,     -0.000003, 139919.999505, -11914.332343, 137424.495979, -29141.438024, 130096.113720, -24421.724660, 133355.773741, -21234.926734, 134742.981207,  -9067.968173,  34125.767947,   -243.280517,   1016.535235,  -2790.679534,  11660.712088,  -8825.082294,  32757.298164,  -8964.910597,  32713.931391,  -9052.973769,  33279.462253,  -9415.961698,  33450.615235,  -9366.818731,  33232.890941,  -9481.618738,  32217.651336
  4.000000e-02,     -0.000002, 139919.999505, -11914.332342, 137424.495979, -29141.438024, 130096.113720, -24421.724660, 133355.773741, -21234.926734, 134742.981206,  -9067.968173,  34125.767947,   -243.280517,   1016.535235,  -2790.679534,  11660.712087,  -8825.082294,  32757.298164,  -8964.910597,  32713.931391,  -9052.973769,  33279.462253,  -9415.961698,  33450.615235,  -9366.818731,  33232.890941,  -9481.618738,  32217.651336
  4.100000e-02,     -0.000002, 139919.999504, -11914.332342, 137424.495978, -29141.438024, 130096.113719, -24421.724659, 133355.773740, -21234.926733, 134742.981206,  -9067.968173,  34125.767946,   -243.280517,   1016.535235,  -2790.679534,  11660.712087,  -8825.082294,  32757.298164,  -8964.910597,  32713.931390,  -9052.973769,  33279.462253,  -9415.961698,  33450.615234,  -9366.818731,  33232.890941,  -9481.618738,  32217.651336
  4.200000e-02,     -0.000002, 139919.999504, -11914.332342, 137424.495978, -29141.438023, 130096.113719, -24421.724659, 133355.773740, -21234.926733, 134742.981205,  -9067.968173,  34125.767946,   -243.280517,   1016.535235,  -2790.679534,  11660.712087,  -8825.082293,  32757.298164,  -8964.910597,  32713.931390,  -9052.973769,  33279.462253,  -9415.961697,  33450.615234,  -9366.818731,  33232.890941,  -9481.618737,  32217.651335
  4.300000e-02,     -0.000001, 139919.999503, -11914.332341, 137424.495977, -29141.438023, 130096.113718, -24421.724659, 133355.773739, -21234.926733, 134742.981205,  -9067.968173,  34125.767946,   -243.280517,   1016.535235,  -2790.679534,  11660.712087,  -8825.082293,  32757.298164,  -8964.910597,  32713.931390,  -9052.973769,  33279.462253,  -9415.961697,  33450.615234,  -9366.818731,  33232.890941,  -9481.618737,  32217.651335
  4.400000e-02,     -0.000001, 139919.999503, -11914.332341, 137424.495977, -29141.438023, 130096.113718, -24421.724658, 133355.773739, -21234.926732, 134742.981204,  -9067.968173,  34125.767946,   -243.280517,   1016.535235,  -2790.679534,  11660.712087,  -8825.082293,  32757.298164,  -8964.910597,  32713.931390,  -9052.973769,  33279.462253,  -9415.961697,  33450.615234,  -9366.818731,  33232.890941,  -9481.618737,  32217.651335
